age;height_cm;weight_kg;overall;skill_moves;pace;shooting;passing;dribbling;defending;physic
30;180;80;90;4;93;86;83;92;32;64
32;195;95;90;4;76;91;81;86;34;86
23;173;74;88;4;90;82;84;91;32;64
30;187;71;88;4;74;90;82;83;33;68
29;183;79;88;3;61;81;85;82;78;80
31;170;72;88;5;89;78;85;92;29;62
28;177;72;88;4;77;86;64;81;40;73
24;183;74;87;4;94;83;83;84;63;81
25;184;78;87;4;80;84;74;85;39;78
30;170;66;87;3;76;56;84;83;87;67
28;183;75;87;3;79;61;71;66;87;82
29;183;79;87;3;78;57;72;72;90;80
28;170;67;87;4;76;77;86;89;33;57
28;174;65;87;4;76;74;85;89;71;70
22;180;75;86;4;79;80;84;85;40;72
22;175;64;86;5;90;80;72;92;30;58
25;192;90;86;2;66;59;75;71;88;78
26;180;70;86;4;90;79;83;87;57;71
25;181;73;86;4;91;86;84;86;33;65
24;186;75;86;3;81;84;82;80;46;72
26;172;74;86;4;88;86;77;88;28;66
25;183;76;86;4;74;74;86;87;27;58
34;170;68;86;3;66;72;91;85;60;58
31;189;90;86;3;76;82;81;79;80;90
28;176;83;86;3;76;87;80;83;44;87
28;192;85;86;2;73;56;69;67;87;81
22;176;72;85;4;80;74;82;89;35;63
25;189;73;85;3;56;59;78;75;81;81
24;182;78;85;3;58;81;89;84;58;69
26;184;79;85;4;84;84;75;82;30;74
27;184;71;85;3;79;83;70;80;41;81
25;188;81;85;3;82;83;63;79;40;88
27;180;75;85;3;78;78;80;81;81;83
25;190;81;85;2;53;61;72;68;84;85
26;174;63;85;4;74;75;84;87;31;60
25;192;90;85;3;77;50;66;69;83;82
30;173;75;85;3;86;86;78;87;46;84
27;192;85;84;2;66;54;69;60;86;76
27;177;76;84;4;76;74;83;86;61;72
25;171;62;84;4;88;81;75;87;39;66
22;179;67;84;4;81;75;80;85;43;44
27;175;75;84;4;79;76;84;86;39;60
27;188;88;84;2;75;45;54;64;88;84
27;189;85;84;2;56;69;74;65;83;86
26;184;82;84;3;81;84;68;80;30;71
35;177;68;84;2;43;69;91;82;55;59
32;183;77;84;2;55;71;86;68;78;72
30;185;83;84;2;68;71;79;75;82;84
29;186;76;84;2;76;51;55;56;87;86
30;170;67;84;3;75;80;87;84;48;63
29;168;66;84;4;73;78;85;87;31;61
30;186;83;84;3;68;85;64;72;32;73
27;179;85;84;3;68;79;88;81;64;63
28;186;78;84;2;67;48;62;60;86;78
21;188;80;83;4;76;78;79;83;73;88
22;176;74;83;3;76;76;82;86;32;62
23;180;79;83;4;79;70;83;86;67;70
26;176;66;83;5;93;77;76;87;57;71
24;183;76;83;4;89;82;69;81;29;70
24;180;74;83;3;72;75;85;84;63;66
23;177;70;83;3;71;78;79;80;70;77
26;169;64;83;4;83;76;78;84;37;60
27;188;80;83;2;52;57;68;64;86;78
27;175;70;83;2;78;67;76;76;84;82
26;184;75;83;3;69;82;87;81;55;67
27;181;72;83;4;85;79;82;84;57;74
33;187;90;83;2;41;47;56;52;84;80
29;198;90;83;2;31;41;57;48;87;76
30;183;77;83;2;53;50;77;71;79;82
31;188;81;83;2;73;51;58;59;84;83
33;186;79;83;2;75;36;58;59;86;79
32;190;88;83;2;52;39;55;51;84;83
30;174;74;83;2;69;59;70;69;84;80
28;186;79;83;3;73;83;68;77;39;82
31;173;64;83;3;86;70;79;83;76;68
28;170;60;83;4;91;71;78;84;29;53
29;178;84;83;3;87;77;80;84;37;76
27;171;61;83;3;74;75;83;82;71;72
29;186;76;83;2;76;49;56;57;84;79
28;179;76;83;4;79;76;81;83;74;79
28;193;84;83;3;71;84;68;78;36;71
28;187;84;83;3;75;82;61;75;43;87
25;172;64;83;4;82;73;76;88;32;49
27;180;85;83;4;85;87;80;81;43;86
22;177;71;82;4;81;72;83;83;47;55
23;176;68;82;4;85;77;76;83;30;68
25;177;75;82;4;86;77;74;85;30;65
22;180;75;82;3;86;70;81;82;79;72
21;172;72;82;4;93;73;76;87;44;63
26;183;79;82;3;73;77;81;81;58;70
23;188;80;82;4;82;82;68;81;30;79
27;169;61;82;4;88;77;80;87;37;53
26;174;75;82;3;81;67;78;84;77;79
25;194;84;82;3;67;70;76;75;80;85
22;178;74;82;3;75;72;85;81;53;73
27;185;85;82;4;82;81;66;78;43;85
27;173;72;82;3;83;83;74;84;29;52
27;189;86;82;3;72;67;74;69;82;81
26;185;85;82;2;78;52;61;65;84;82
26;187;82;82;2;66;50;65;65;83;78
25;175;75;82;4;89;73;78;87;51;63
25;193;88;82;2;71;57;58;57;83;79
26;173;67;82;4;83;74;81;86;38;57
26;178;74;82;4;93;82;68;82;38;73
27;189;84;82;3;77;64;72;72;80;78
26;187;80;82;2;72;58;72;72;83;82
34;183;83;82;3;63;83;85;75;70;81
30;178;70;82;4;85;76;81;84;33;56
31;187;83;82;3;50;66;78;73;79;84
32;188;92;82;2;54;64;53;55;84;83
29;173;73;82;4;75;73;84;85;39;64
29;178;76;82;3;74;52;74;75;83;82
30;180;74;82;2;68;72;80;76;75;73
28;189;88;82;2;75;82;60;70;30;79
32;175;70;82;3;85;82;77;84;31;60
30;188;87;82;3;64;56;72;71;83;76
29;173;75;82;4;87;76;75;85;32;73
29;175;73;82;3;71;74;85;81;65;67
29;170;70;82;3;77;74;81;77;80;74
28;182;78;82;3;82;62;76;78;81;77
28;175;71;82;3;87;74;79;83;58;72
29;184;78;82;3;81;67;73;74;81;82
